"Date","MaerskA","MaerskB","Baverian","Carlsberg","Coloplast","DanskeBank","DSV","FLSmidth","Genmab","GN","JyskeBank","Lundbeck","NKT","Nordea","NovoNordisk","Novozymes","Tryg","Vestas","WilliamDemant","OilPrice","USD","GBP","SEK","NOK","CNY","TwoYearBond","TenYearBond","GoldFutures","C20index"
2010-01-04,6378.09,6612.85,93.71,393,96.2,111.97,96,389,92,29.7,205,95.05,154.39,53.3,67.6,113.5,70.3,66.4,78,421.6,5.17,8.35,0.73,0.9,0.76,2.14,3.67,1117.7,347.85
2010-01-05,6378.09,6664.75,93.71,394.85,92.8,115.67,95.95,384.5,89.6,29.3,204.1,96.5,153.29,53.5,66.78,115.4,68.8,64.38,77,421.18,5.15,8.26,0.73,0.91,0.75,2.12,3.66,1118.1,345.14
2010-01-06,6447.42,6730.26,101.55,388,95.2,117.06,100.5,374.9,88.75,28.4,203.4,96.55,153.99,53.7,67.5,110.6,68.2,63.58,76.34,430.99,5.19,8.28,0.73,0.91,0.76,2.12,3.69,1135.9,346.37
2010-01-07,6655.4,6972.61,101.55,392,96.4,120.76,101,376,88,29.5,210.4,98.5,157.13,53.6,67.12,114.4,67.06,64.1,77,429.69,5.2,8.27,0.73,0.91,0.76,2.09,3.67,1133.1,351.28
2010-01-08,6849.52,7131.28,94.69,393,96,122.61,101.7,375.9,89,29.5,210.7,99,158.22,53.55,68,111.6,67.86,63.8,78.02,431.35,5.21,8.33,0.73,0.91,0.76,2.06,3.67,1138.2,353.23
2010-01-11,6936.18,7270.77,97.63,400,97.53,125.29,104,375,89.9,29.3,210,104,159.12,54.25,70,111.2,67.74,65.8,78.24,422.76,5.12,8.28,0.73,0.91,0.75,2.02,3.64,1150.7,359.54
2010-01-12,6893.71,7265.54,99.27,395,96.5,124.46,102,368,89.6,29.5,209.1,103.2,164.09,54.4,69.2,112.4,67.82,63.4,76.44,415.11,5.14,8.29,0.73,0.91,0.75,2.02,3.6,1128.9,356.73
2010-01-13,6906.71,7209.74,94.61,395,95.36,123.72,99.5,370,89.4,29.8,207.8,100,167.57,54.55,69.28,111.4,66.6,65.4,77.1,407,5.11,8.32,0.73,0.91,0.75,1.95,3.57,1136.4,356.53
2010-01-14,7054.03,7366.67,100.82,391,95.4,126.78,99.2,379,91.25,30.4,213.3,102,171.05,55.5,70.2,111.3,67.4,66.8,77.28,407.56,5.14,8.36,0.73,0.91,0.75,1.92,3.61,1142.6,361.79
2010-01-15,7152.82,7514.87,107.41,393,96.6,125.39,97.5,375,97.5,30.3,211.5,102,168.56,54.7,68.7,109.4,66.9,66,77.4,403.63,5.18,8.45,0.73,0.91,0.76,1.91,3.56,1130.1,359.27
2010-01-18,7192.69,7537.54,117.1,400,96.8,124.46,98.8,372,104,30.2,208.4,103,167.57,53.8,68.2,110.5,66.6,65.8,77.8,,5.18,8.46,0.73,0.91,0.76,1.86,3.54,,359.95
2010-01-19,7244.68,7575.9,110.9,400,96.6,122.61,98.4,375,99.75,30,204.5,102,166.57,53.1,69.8,111.5,66.7,65.54,77.78,411.64,5.21,8.51,0.73,0.91,0.76,1.93,3.6,1139.7,360.47
2010-01-20,7158.02,7445.13,108.57,394.5,97.86,119.09,97,370.5,99.05,29.7,200.9,103.3,162.85,52.4,70.8,111.2,67.12,61.7,77.4,407.71,5.27,8.56,0.74,0.92,0.77,1.85,3.54,1112.3,356.31
2010-01-21,7048.83,7380.61,103.92,391.5,98.4,117.52,96,360,96,29.2,196,100,158.27,51.4,68.52,108.6,67.3,60.8,77.2,401.35,5.29,8.55,0.73,0.91,0.78,1.86,3.58,1102.7,349.69
