"Date","Carlsberg","DSV","GN","JyskeBank","Tryg","OilPrice"
2010-01-04,393,96,29.7,205,70.3,421.6
2010-01-05,394.85,95.95,29.3,204.1,68.8,421.18
2010-01-06,388,100.5,28.4,203.4,68.2,430.99
2010-01-07,392,101,29.5,210.4,67.06,429.69
2010-01-08,393,101.7,29.5,210.7,67.86,431.35
2010-01-11,400,104,29.3,210,67.74,422.76
2010-01-12,395,102,29.5,209.1,67.82,415.11
2010-01-13,395,99.5,29.8,207.8,66.6,407
2010-01-14,391,99.2,30.4,213.3,67.4,407.56
2010-01-15,393,97.5,30.3,211.5,66.9,403.63
2010-01-18,400,98.8,30.2,208.4,66.6,408.988
2010-01-19,400,98.4,30,204.5,66.7,411.64
2010-01-20,394.5,97,29.7,200.9,67.12,407.71
2010-01-21,391.5,96,29.2,196,67.3,401.35
2010-01-22,392,95,29.7,198,65.6,391.11
2010-01-25,398,94.3,30.4,197.9,65.58,394.06
2010-01-26,392,93,30.3,199.4,65.46,394.69
2010-01-27,390.4,93.95,31.4,199.5,65.38,389.6
2010-01-28,389,94.75,32.9,199.9,65.5,391.51
2010-01-29,404,96.3,33,200.6,65.8,388.31
2010-02-01,398.7,95,33.6,208.9,66.9,398.2
2010-02-02,397.6,95.6,33.2,216,66.98,412.47
2010-02-03,395.7,93.75,32.7,209.8,68.2,409.73
2010-02-04,388.7,91.65,32,206.6,66.64,393.17
2010-02-05,378,89.8,31.2,203.9,65.9,386.9
2010-02-08,367,89.15,30.5,199.3,65.3,391.24
2010-02-09,367,86.8,30.6,197.8,64.6,398.81
2010-02-10,367.4,87.6,30.5,195.6,63.78,403.56
2010-02-11,375.8,86.9,30.7,189.3,64.2,408.3
2010-02-12,378.2,85.65,30.8,192.6,63.8,406.51
2010-02-15,372.7,87,30,192.4,64.8,405.878
2010-02-16,378.8,87.5,30.9,193,64.32,419.78
2010-02-17,378.7,88.95,31.5,193,63.96,419.03
2010-02-18,377,89,32.2,195.5,63.82,433.25
2010-02-19,388.2,89,32.4,198.6,63.4,439.17
2010-02-22,384.2,88.6,32.4,201.8,63.6,437.24
2010-02-23,415,86.85,31.5,193.5,64.2,430.97
2010-02-24,411.1,86.45,30.1,191,64.18,438.15
2010-02-25,409.4,84.6,29.1,188,68.18,430.32
2010-02-26,422.1,85.05,29.6,190.3,71.28,437.24
2010-03-01,428.9,90.65,30.5,191,71.2,433.13
