"Date","Genmab","FLSmidth","Lundbeck","WilliamDemant","OilPrice","USD","NOK"
2010-01-04,92,389,95.05,78,421.6,5.17,0.9
2010-01-05,89.6,384.5,96.5,77,421.18,5.15,0.91
2010-01-06,88.75,374.9,96.55,76.34,430.99,5.19,0.91
2010-01-07,88,376,98.5,77,429.69,5.2,0.91
2010-01-08,89,375.9,99,78.02,431.35,5.21,0.91
2010-01-11,89.9,375,104,78.24,422.76,5.12,0.91
2010-01-12,89.6,368,103.2,76.44,415.11,5.14,0.91
2010-01-13,89.4,370,100,77.1,407,5.11,0.91
2010-01-14,91.25,379,102,77.28,407.56,5.14,0.91
2010-01-15,97.5,375,102,77.4,403.63,5.18,0.91
2010-01-18,104,372,103,77.8,407.635,5.18,0.91
2010-01-19,99.75,375,102,77.78,411.64,5.21,0.91
2010-01-20,99.05,370.5,103.3,77.4,407.71,5.27,0.92
2010-01-21,96,360,100,77.2,401.35,5.29,0.91
2010-01-22,99,350,99.9,77.18,391.11,5.27,0.91
2010-01-25,102.5,349,100.8,77.36,394.06,5.26,0.91
2010-01-26,100.6,342,102,78.64,394.69,5.29,0.9
2010-01-27,99,337,102.3,81.24,389.6,5.29,0.91
2010-01-28,98,343,101.9,84,391.51,5.32,0.91
2010-01-29,97.95,346.6,100.5,84.14,388.31,5.33,0.91
2010-02-01,96.5,344.8,100.9,83.9,398.2,5.35,0.91
2010-02-02,95,351,101.2,83.6,412.47,5.34,0.91
2010-02-03,99,351.5,101,82.7,409.73,5.32,0.91
2010-02-04,98.65,337.5,100.2,83.1,393.17,5.38,0.91
2010-02-05,97.5,333.9,97.25,81.4,386.9,5.44,0.91
2010-02-08,93.85,320.8,96.8,79.4,391.24,5.44,0.91
2010-02-09,93.95,326,97.4,80.44,398.81,5.41,0.91
2010-02-10,92.75,317.8,96.05,78.22,403.56,5.42,0.92
2010-02-11,91.45,318.1,96.4,78.9,408.3,5.43,0.92
2010-02-12,90.75,310.9,97,78,406.51,5.49,0.92
2010-02-15,91,319.2,96.25,78.8,413.145,5.47,0.92
2010-02-16,92.45,337.7,98.2,79.2,419.78,5.45,0.92
2010-02-17,95.35,343.4,98,78.92,419.03,5.42,0.93
2010-02-18,95.9,346,98.25,79.2,433.25,5.49,0.92
2010-02-19,94.65,345.8,99,79.38,439.17,5.51,0.92
2010-02-22,93.5,346.5,99,79.2,437.24,5.46,0.93
2010-02-23,90.65,339.5,98.75,78.32,430.97,5.48,0.93
2010-02-24,91.3,338.5,98.8,78,438.15,5.49,0.93
2010-02-25,90.05,342.7,96.8,77.32,430.32,5.52,0.93
2010-02-26,91.75,348,96.5,78,437.24,5.48,0.93
2010-03-01,91.7,360,95,80.2,433.13,5.5,0.92
2010-03-02,92.2,365.8,96.1,80.84,437.38,5.49,0.92
2010-03-03,90.55,364.9,96,81.98,441.41,5.46,0.92
2010-03-04,90.85,356.9,97.85,81.62,436.75,5.45,0.92
2010-03-05,92.35,364.1,97.45,82.82,446.57,5.48,0.92
2010-03-08,73.5,363.3,98.05,81.9,445.85,5.45,0.92
2010-03-09,71.5,365,96.8,81,447.37,5.49,0.93
2010-03-10,72.05,375,96.85,81.52,448.71,5.47,0.93
2010-03-11,72.2,380,98.75,79.6,447.31,5.45,0.93
2010-03-12,71.85,378.8,99,74.36,439.28,5.41,0.93
2010-03-15,72.2,376.5,99.5,73.6,433.24,5.43,0.93
2010-03-16,71.85,385,99.55,73.98,443.26,5.42,0.93
2010-03-17,71.5,389,100.4,73.8,448.57,5.41,0.93
2010-03-18,71.2,385.9,99.55,77.1,447.53,5.45,0.93
