"Date","JyskeBank","Lundbeck","NKT","Nordea","TenYearBond"
2010-01-04,205,95.05,154.39,53.3,3.67
2010-01-05,204.1,96.5,153.29,53.5,3.66
2010-01-06,203.4,96.55,153.99,53.7,3.69
2010-01-07,210.4,98.5,157.13,53.6,3.67
2010-01-08,210.7,99,158.22,53.55,3.67
2010-01-11,210,104,159.12,54.25,3.64
2010-01-12,209.1,103.2,164.09,54.4,3.6
2010-01-13,207.8,100,167.57,54.55,3.57
2010-01-14,213.3,102,171.05,55.5,3.61
2010-01-15,211.5,102,168.56,54.7,3.56
2010-01-18,208.4,103,167.57,53.8,3.54
2010-01-19,204.5,102,166.57,53.1,3.6
2010-01-20,200.9,103.3,162.85,52.4,3.54
2010-01-21,196,100,158.27,51.4,3.58
2010-01-22,198,99.9,158.12,50,3.57
2010-01-25,197.9,100.8,158.32,50.4,3.55
2010-01-26,199.4,102,155.49,50.5,3.56
2010-01-27,199.5,102.3,156.33,50,3.56
2010-01-28,199.9,101.9,154.14,49.4,3.55
2010-01-29,200.6,100.5,157.62,51,3.57
2010-02-01,208.9,100.9,158.37,51,3.53
2010-02-02,216,101.2,159.86,51.7,3.56
2010-02-03,209.8,101,159.12,51.65,3.55
2010-02-04,206.6,100.2,155.64,50,3.54
2010-02-05,203.9,97.25,151.36,49.18,3.49
2010-02-08,199.3,96.8,147.38,49.16,3.52
2010-02-09,197.8,97.4,148.03,50.45,3.52
2010-02-10,195.6,96.05,146.14,49.31,3.54
2010-02-11,189.3,96.4,144.45,49.81,3.54
2010-02-12,192.6,97,145.19,49.75,3.53
2010-02-15,192.4,96.25,145.49,50.25,3.55
2010-02-16,193,98.2,150.61,50.5,3.57
2010-02-17,193,98,149.77,51.3,3.53
2010-02-18,195.5,98.25,150.56,51.45,3.57
2010-02-19,198.6,99,150.81,51.15,3.59
2010-02-22,201.8,99,151.66,52.7,3.6
2010-02-23,193.5,98.75,149.72,52.05,3.46
2010-02-24,191,98.8,148.57,52.55,3.46
2010-02-25,188,96.8,147.18,52.4,3.42
2010-02-26,190.3,96.5,149.92,53.05,3.44
2010-03-01,191,95,153.15,54,3.41
2010-03-02,189.5,96.1,156.08,54.15,3.42
2010-03-03,191.1,96,157.03,54.85,3.47
2010-03-04,191,97.85,155.69,55.6,3.41
2010-03-05,193.5,97.45,155.39,57.3,3.46
2010-03-08,193.8,98.05,154.49,57.5,3.45
2010-03-09,192.7,96.8,152.65,55.9,3.45
2010-03-10,194.3,96.85,152.85,56.55,3.44
2010-03-11,193,98.75,154.59,56.7,3.46
2010-03-12,193.1,99,155.24,56.6,3.45
2010-03-15,192.9,99.5,152.15,56.55,3.43
2010-03-16,195.5,99.55,154.04,57.2,3.39
2010-03-17,195,100.4,152.95,57.4,3.38
2010-03-18,194.2,99.55,151.51,56.6,3.4
2010-03-19,193.1,100,150.31,56.65,3.4
2010-03-22,193.5,99.65,148.67,56.1,3.36
2010-03-23,194.2,102.5,149.17,56.35,3.36
2010-03-24,195,103.1,151.81,56.75,3.39
2010-03-25,197.8,102.8,154.04,57.75,3.45
2010-03-26,197.2,102.8,151.91,55.3,3.44
2010-03-29,195,103.8,152.7,54.85,3.42
2010-03-30,194.2,104.2,151.46,55.05,3.39
2010-03-31,195.8,103.9,151.41,54.95,3.38
2010-04-06,197.5,103.1,156.13,55.8,3.43
2010-04-07,200.9,103.5,158.47,56.25,3.4
2010-04-08,200.4,102.8,157.23,55.35,3.41
2010-04-09,201,102.6,159.31,55.8,3.44
2010-04-12,201.6,103.2,159.12,56.35,3.43
2010-04-13,198.9,102.8,162.2,55.8,3.41
2010-04-14,203.2,102.5,167.67,56.2,3.41
2010-04-15,204.9,103,169.36,55.7,3.4
2010-04-16,204,101.2,167.42,54.9,3.34
2010-04-19,200,99.85,165.28,54.15,3.35
2010-04-20,203.5,100,172.24,55.2,3.34
2010-04-22,211.3,96.6,165.08,53,3.33
2010-04-23,216.6,97.5,166.38,53.9,3.31
2010-04-26,219,96.9,168.07,54.25,3.29
2010-04-27,219,95.3,163.59,52.3,3.24
2010-04-28,219.7,94.3,159.76,54.8,3.23
2010-04-29,226.2,92.1,163.39,55.05,3.2
2010-05-03,227.8,93.5,162.85,54.55,3.21
2010-05-04,209.6,94.7,156.63,52.6,3.05
2010-05-05,197,94.15,152.06,50.3,3.01
2010-05-06,189,92.4,150.96,48.09,2.94
2010-05-07,183,88.4,144.6,45.84,2.99
2010-05-10,204.5,92.2,155.78,50.85,3.11
