"Date","MaerskB","FLSmidth","NovoNordisk","OilPrice","USD"
2010-01-04,6612.85,389,67.6,421.6,5.17
2010-01-05,6664.75,384.5,66.78,421.18,5.15
2010-01-06,6730.26,374.9,67.5,430.99,5.19
2010-01-07,6972.61,376,67.12,429.69,5.2
2010-01-08,7131.28,375.9,68,431.35,5.21
2010-01-11,7270.77,375,70,422.76,5.12
2010-01-12,7265.54,368,69.2,415.11,5.14
2010-01-13,7209.74,370,69.28,407,5.11
2010-01-14,7366.67,379,70.2,407.56,5.14
2010-01-15,7514.87,375,68.7,403.63,5.18
2010-01-18,7537.54,372,68.2,408.988,5.18
2010-01-19,7575.9,375,69.8,411.64,5.21
2010-01-20,7445.13,370.5,70.8,407.71,5.27
2010-01-21,7380.61,360,68.52,401.35,5.29
2010-01-22,7361.43,350,68.28,391.11,5.27
2010-01-25,7385.85,349,69.5,394.06,5.26
2010-01-26,7288.2,342,72.6,394.69,5.29
2010-01-27,7103.38,337,73.9,389.6,5.29
2010-01-28,7253.33,343,73.84,391.51,5.32
2010-01-29,7370.15,346.6,73.3,388.31,5.33
2010-02-01,7485.23,344.8,74.94,398.2,5.35
2010-02-02,7591.59,351,73,412.47,5.34
2010-02-03,7610.77,351.5,76.2,409.73,5.32
2010-02-04,7418.97,337.5,75,393.17,5.38
2010-02-05,7221.95,333.9,75.54,386.9,5.44
2010-02-08,7166.15,320.8,75.22,391.24,5.44
2010-02-09,7253.33,326,75.06,398.81,5.41
2010-02-10,7296.92,317.8,75,403.56,5.42
2010-02-11,7342.26,318.1,75.94,408.3,5.43
2010-02-12,7403.28,310.9,77.38,406.51,5.49
2010-02-15,7333.54,319.2,78.28,405.878,5.47
2010-02-16,7359.69,337.7,78.54,419.78,5.45
2010-02-17,7513.13,343.4,78.6,419.03,5.42
2010-02-18,7492.2,346,78.98,433.25,5.49
2010-02-19,7462.56,345.8,79.12,439.17,5.51
2010-02-22,7565.43,346.5,79.04,437.24,5.46
2010-02-23,7481.74,339.5,77.8,430.97,5.48
2010-02-24,7514.87,338.5,78.2,438.15,5.49
2010-02-25,7267.28,342.7,77.4,430.32,5.52
2010-02-26,7289.95,348,77.2,437.24,5.48
2010-03-01,7525.33,360,79,433.13,5.5
2010-03-02,7532.31,365.8,79.14,437.38,5.49
2010-03-03,7635.18,364.9,79.26,441.41,5.46
2010-03-04,7338.77,356.9,79.58,436.75,5.45
2010-03-05,7554.97,364.1,80.82,446.57,5.48
2010-03-08,7457.33,363.3,81.64,445.85,5.45
2010-03-09,7373.64,365,81.64,447.37,5.49
2010-03-10,7595.08,375,82.6,448.71,5.47
2010-03-11,7500.92,380,81.88,447.31,5.45
2010-03-12,7462.56,378.8,81.68,439.28,5.41
2010-03-15,7434.67,376.5,81.94,433.24,5.43
2010-03-16,7450.36,385,83.8,443.26,5.42
2010-03-17,7410.26,389,84.78,448.57,5.41
2010-03-18,7392.82,385.9,84.3,447.53,5.45
2010-03-19,7323.08,378.4,85.46,442.56,5.49
2010-03-22,7361.43,380,85,448.82,5.52
2010-03-23,7466.05,388,86.2,449.54,5.5
2010-03-24,7445.13,386.7,88.98,447.88,5.58
2010-03-25,7424.2,388.6,88.4,447.14,5.57
2010-03-26,7288.2,386,87,444.45,5.57
2010-03-29,7279.49,384,86.1,452.56,5.52
2010-03-30,7323.08,382.2,86.12,453.53,5.52
2010-03-31,7323.08,382.4,85.54,460.91,5.52
2010-04-06,7453.85,392.6,88.56,480.9,5.56
2010-04-07,7466.05,393.5,88.9,477.85,5.58
2010-04-08,7406.77,392,87.5,476.82,5.6
2010-04-09,7507.9,407.2,86.48,470.47,5.56
2010-04-12,7565.43,417,86.48,460.6,5.48
2010-04-13,7413.74,429.3,88.3,459.22,5.48
2010-04-14,7851.38,434,88.1,468.07,5.47
2010-04-15,8158.26,434.3,88.8,468.47,5.5
2010-04-16,8003.08,430,89.1,456.22,5.5
2010-04-19,7985.64,417.7,89.1,451.7,5.54
2010-04-20,8051.9,421.6,90.6,457.93,5.52
2010-04-22,7999.59,416.5,88.94,462.45,5.58
2010-04-23,8369.23,424.4,89,471.54,5.59
