"Date","Vestas","MaerskA","Coloplast","Genmab","GN","Lundbeck","NovoNordisk","USD","NOK","C20index"
2010-01-04,66.4,6378.09,96.2,92,29.7,95.05,67.6,5.17,0.9,347.85
2010-01-05,64.38,6378.09,92.8,89.6,29.3,96.5,66.78,5.15,0.91,345.14
2010-01-06,63.58,6447.42,95.2,88.75,28.4,96.55,67.5,5.19,0.91,346.37
2010-01-07,64.1,6655.4,96.4,88,29.5,98.5,67.12,5.2,0.91,351.28
2010-01-08,63.8,6849.52,96,89,29.5,99,68,5.21,0.91,353.23
2010-01-11,65.8,6936.18,97.53,89.9,29.3,104,70,5.12,0.91,359.54
2010-01-12,63.4,6893.71,96.5,89.6,29.5,103.2,69.2,5.14,0.91,356.73
2010-01-13,65.4,6906.71,95.36,89.4,29.8,100,69.28,5.11,0.91,356.53
2010-01-14,66.8,7054.03,95.4,91.25,30.4,102,70.2,5.14,0.91,361.79
2010-01-15,66,7152.82,96.6,97.5,30.3,102,68.7,5.18,0.91,359.27
2010-01-18,65.8,7192.69,96.8,104,30.2,103,68.2,5.18,0.91,359.95
2010-01-19,65.54,7244.68,96.6,99.75,30,102,69.8,5.21,0.91,360.47
2010-01-20,61.7,7158.02,97.86,99.05,29.7,103.3,70.8,5.27,0.92,356.31
2010-01-21,60.8,7048.83,98.4,96,29.2,100,68.52,5.29,0.91,349.69
2010-01-22,59.14,7019.37,97.4,99,29.7,99.9,68.28,5.27,0.91,346.87
2010-01-25,60.4,7067.9,98.2,102.5,30.4,100.8,69.5,5.26,0.91,349.86
2010-01-26,57.8,6924.04,99.5,100.6,30.3,102,72.6,5.29,0.9,348.97
2010-01-27,56,6785.39,101.2,99,31.4,102.3,73.9,5.29,0.91,349.61
2010-01-28,55.8,6898.05,112.56,98,32.9,101.9,73.84,5.32,0.91,350.95
2010-01-29,57.8,7067.9,116.4,97.95,33,100.5,73.3,5.33,0.91,354.85
2010-02-01,57.2,7187.49,119.8,96.5,33.6,100.9,74.94,5.35,0.91,358.43
2010-02-02,57.2,7248.15,118.4,95,33.2,101.2,73,5.34,0.91,358.17
2010-02-03,57.5,7263.75,119.4,99,32.7,101,76.2,5.32,0.91,360.48
2010-02-04,54.4,7140.69,118.3,98.65,32,100.2,75,5.38,0.91,355.92
2010-02-05,54.96,6896.31,116.9,97.5,31.2,97.25,75.54,5.44,0.91,350.75
2010-02-08,53.96,6809.65,117.4,93.85,30.5,96.8,75.22,5.44,0.91,345.43
2010-02-09,58.18,6873.78,119,93.95,30.6,97.4,75.06,5.41,0.91,348.74
2010-02-10,53.7,6918.84,115.1,92.75,30.5,96.05,75,5.42,0.92,346.31
2010-02-11,54.7,6956.97,116.2,91.45,30.7,96.4,75.94,5.43,0.92,348.53
2010-02-12,54.08,6989.9,117.2,90.75,30.8,97,77.38,5.49,0.92,349.74
2010-02-15,53.94,6943.11,119,91,30,96.25,78.28,5.47,0.92,350.64
2010-02-16,55.2,6974.31,119.9,92.45,30.9,98.2,78.54,5.45,0.92,354.54
2010-02-17,56.82,7135.49,121.4,95.35,31.5,98,78.6,5.42,0.93,357.57
2010-02-18,58.04,7090.43,122.7,95.9,32.2,98.25,78.98,5.49,0.92,358.6
2010-02-19,57.92,7071.36,120.8,94.65,32.4,99,79.12,5.51,0.92,358.76
2010-02-22,59,7168.42,120.8,93.5,32.4,99,79.04,5.46,0.93,360.99
2010-02-23,56.22,7099.09,121.4,90.65,31.5,98.75,77.8,5.48,0.93,357.44
2010-02-24,56.64,7111.23,124.4,91.3,30.1,98.8,78.2,5.49,0.93,358.05
2010-02-25,55.12,6880.71,124.1,90.05,29.1,96.8,77.4,5.52,0.93,353.95
2010-02-26,54,6889.38,124.2,91.75,29.6,96.5,77.2,5.48,0.93,354.77
2010-03-01,53.84,7125.09,125,91.7,30.5,95,79,5.5,0.92,361.86
2010-03-02,53.36,7147.62,124.3,92.2,30.4,96.1,79.14,5.49,0.92,364.37
2010-03-03,55.88,7244.68,126.1,90.55,30.4,96,79.26,5.46,0.92,368.12
2010-03-04,54.32,6972.57,127.9,90.85,30.6,97.85,79.58,5.45,0.92,364.62
2010-03-05,55,7137.22,127.6,92.35,30.9,97.45,80.82,5.48,0.92,371.1
2010-03-08,55.16,7057.5,127.7,73.5,31.1,98.05,81.64,5.45,0.92,371.38
2010-03-09,55.02,6998.57,127.3,71.5,31,96.8,81.64,5.49,0.93,369.55
2010-03-10,55.74,7223.88,125.3,72.05,31.2,96.85,82.6,5.47,0.93,374.02
2010-03-11,54.9,7132.02,124.8,72.2,31.2,98.75,81.88,5.45,0.93,372.06
2010-03-12,54.28,7088.7,122.3,71.85,31.3,99,81.68,5.41,0.93,372.34
2010-03-15,52.72,7057.5,121.2,72.2,31.4,99.5,81.94,5.43,0.93,371.01
2010-03-16,54.46,7060.96,120.8,71.85,31.7,99.55,83.8,5.42,0.93,377.02
2010-03-17,54.5,7050.57,121.8,71.5,31.6,100.4,84.78,5.41,0.93,378.35
2010-03-18,55.76,7017.64,121.5,71.2,31.5,99.55,84.3,5.45,0.93,377.87
2010-03-19,57.06,6936.18,120.6,71.75,31.6,100,85.46,5.49,0.93,379.68
2010-03-22,56.84,6969.11,120.2,71.75,32,99.65,85,5.52,0.92,378.16
2010-03-23,57.72,7088.7,120,72,32.7,102.5,86.2,5.5,0.93,383.79
2010-03-24,58.64,7062.7,122.5,72.55,33.1,103.1,88.98,5.58,0.93,386.71
2010-03-25,60.74,7054.03,121.4,71.9,33.5,102.8,88.4,5.57,0.92,388.48
2010-03-26,59.7,6953.51,122,71.15,32.9,102.8,87,5.57,0.92,384.57
2010-03-29,59.6,6939.64,121.5,70.15,32.8,103.8,86.1,5.52,0.92,382.89
2010-03-30,58.78,6944.84,120.8,68.5,32.5,104.2,86.12,5.52,0.93,383.23
2010-03-31,59.9,6956.97,121.4,69.35,33,103.9,85.54,5.52,0.93,383.04
2010-04-06,61.44,7106.03,120.4,70.25,32.9,103.1,88.56,5.56,0.93,391.65
2010-04-07,65.96,7130.29,121.4,70.5,33.3,103.5,88.9,5.58,0.93,397.24
2010-04-08,64.78,7093.9,122.4,69.05,32.9,102.8,87.5,5.6,0.94,392.32
2010-04-09,65.4,7201.35,122.4,68.8,33.3,102.6,86.48,5.56,0.94,393.99
2010-04-12,66.12,7263.75,122.6,68.5,33.5,103.2,86.48,5.48,0.93,397.76
