"Date","Vestas","MaerskA","MaerskB","Baverian","Coloplast","FLSmidth","Genmab","GN","Lundbeck","NovoNordisk","Tryg","USD/DKK"
2010-01-04,332,6378.09,6612.85,93.71,96.2,389,92,29.7,95.05,67.6,70.3,5.16
2010-01-05,321.9,6378.09,6664.75,93.71,92.8,384.5,89.6,29.3,96.5,66.78,68.8,5.18
2010-01-06,317.9,6447.42,6730.26,101.55,95.2,374.9,88.75,28.4,96.55,67.5,68.2,5.17
2010-01-07,320.5,6655.4,6972.61,101.55,96.4,376,88,29.5,98.5,67.12,67.06,5.2
2010-01-08,319,6849.52,7131.28,94.69,96,375.9,89,29.5,99,68,67.86,5.16
2010-01-11,329,6936.18,7270.77,97.63,97.53,375,89.9,29.3,104,70,67.74,5.13
2010-01-12,317,6893.71,7265.54,99.27,96.5,368,89.6,29.5,103.2,69.2,67.82,5.14
2010-01-13,327,6906.71,7209.74,94.61,95.36,370,89.4,29.8,100,69.28,66.6,5.12
2010-01-14,334,7054.03,7366.67,100.82,95.4,379,91.25,30.4,102,70.2,67.4,5.13
2010-01-15,330,7152.82,7514.87,107.41,96.6,375,97.5,30.3,102,68.7,66.9,5.17
2010-01-18,329,7192.69,7537.54,117.1,96.8,372,104,30.2,103,68.2,66.6,5.17
2010-01-19,327.7,7244.68,7575.9,110.9,96.6,375,99.75,30,102,69.8,66.7,5.21
2010-01-20,308.5,7158.02,7445.13,108.57,97.86,370.5,99.05,29.7,103.3,70.8,67.12,5.27
2010-01-21,304,7048.83,7380.61,103.92,98.4,360,96,29.2,100,68.52,67.3,5.28
2010-01-22,295.7,7019.37,7361.43,105.47,97.4,350,99,29.7,99.9,68.28,65.6,5.27
2010-01-25,302,7067.9,7385.85,108.57,98.2,349,102.5,30.4,100.8,69.5,65.58,5.26
2010-01-26,289,6924.04,7288.2,116.33,99.5,342,100.6,30.3,102,72.6,65.46,5.29
2010-01-27,280,6785.39,7103.38,124.08,101.2,337,99,31.4,102.3,73.9,65.38,5.31
2010-01-28,279,6898.05,7253.33,130.29,112.56,343,98,32.9,101.9,73.84,65.5,5.33
2010-01-29,289,7067.9,7370.15,133,116.4,346.6,97.95,33,100.5,73.3,65.8,5.37
2010-02-01,286,7187.49,7485.23,130.67,119.8,344.8,96.5,33.6,100.9,74.94,66.9,5.35
