"Date","Carlsberg","DanskeBank","DSV","Genmab","JyskeBank","Lundbeck","SimCorp","WilliamDemant","OilPrice"
2010-01-04,393,111.97,96,92,205,95.05,98.5,78,421.55
2010-01-05,394.85,115.67,95.95,89.6,204.1,96.5,98.1,77,421.34
2010-01-06,388,117.06,100.5,88.75,203.4,96.55,99,76.34,431.3
2010-01-07,392,120.76,101,88,210.4,98.5,98.5,77,430.01
2010-01-08,393,122.61,101.7,89,210.7,99,97.8,78.02,431.4
2010-01-11,400,125.29,104,89.9,210,104,100,78.24,422.66
2010-01-12,395,124.46,102,89.6,209.1,103.2,99.5,76.44,415.11
2010-01-13,395,123.72,99.5,89.4,207.8,100,98.6,77.1,406.95
2010-01-14,391,126.78,99.2,91.25,213.3,102,98.8,77.28,407.76
2010-01-15,393,125.39,97.5,97.5,211.5,102,99,77.4,403.84
2010-01-18,400,124.46,98.8,104,208.4,103,97.7,77.8,407.84
2010-01-19,400,122.61,98.4,99.75,204.5,102,99,77.78,411.84
2010-01-20,394.5,119.09,97,99.05,200.9,103.3,98.8,77.4,408.76
2010-01-21,391.5,117.52,96,96,196,100,99.9,77.2,402.62
2010-01-22,392,116.97,95,99,198,99.9,97.3,77.18,392.64
2010-01-25,398,117.98,94.3,102.5,197.9,100.8,97.5,77.36,395.95
2010-01-26,392,115.49,93,100.6,199.4,102,97.6,78.64,394.9
2010-01-27,390.4,115.67,93.95,99,199.5,102.3,98,81.24,389.76
2010-01-28,389,117.98,94.75,98,199.9,101.9,97.1,84,391.62
2010-01-29,404,120.76,96.3,97.95,200.6,100.5,96.3,84.14,388.53
2010-02-01,398.7,122.15,95,96.5,208.9,100.9,99.6,83.9,398.3
2010-02-02,397.6,123.54,95.6,95,216,101.2,98.9,83.6,412.58
2010-02-03,395.7,119.09,93.75,99,209.8,101,98.4,82.7,409.83
2010-02-04,388.7,122.52,91.65,98.65,206.6,100.2,96.8,83.1,393.22
2010-02-05,378,119.65,89.8,97.5,203.9,97.25,97,81.4,387.12
2010-02-08,367,115.67,89.15,93.85,199.3,96.8,94.4,79.4,391.35
2010-02-09,367,116.5,86.8,93.95,197.8,97.4,92.3,80.44,399.02
2010-02-10,367.4,119.19,87.6,92.75,195.6,96.05,92.6,78.22,403.78
2010-02-11,375.8,117.24,86.9,91.45,189.3,96.4,89,78.9,408.57
2010-02-12,378.2,116.41,85.65,90.75,192.6,97,90,78,406.62
2010-02-15,372.7,115.67,87,91,192.4,96.25,89.9,78.8,413.28
2010-02-16,378.8,116.13,87.5,92.45,193,98.2,89.5,79.2,419.94
2010-02-17,378.7,116.69,88.95,95.35,193,98,89.8,78.92,419.35
2010-02-18,377,116.6,89,95.9,195.5,98.25,88.6,79.2,433.75
2010-02-19,388.2,115.86,89,94.65,198.6,99,87.1,79.38,439.39
2010-02-22,384.2,116.23,88.6,93.5,201.8,99,86.3,79.2,437.9
2010-02-23,415,115.67,86.85,90.65,193.5,98.75,88,78.32,432.34
2010-02-24,411.1,116.04,86.45,91.3,191,98.8,85.5,78,439.52
2010-02-25,409.4,116.23,84.6,90.05,188,96.8,92.3,77.32,431.31
2010-02-26,422.1,115.21,85.05,91.75,190.3,96.5,96.4,78,436.91
2010-03-01,428.9,116.6,90.65,91.7,191,95,98.5,80.2,433.08
2010-03-02,435.6,119.37,92.95,92.2,189.5,96.1,98,80.84,437.71
2010-03-03,431.2,121.32,92.9,90.55,191.1,96,101,81.98,441.19
2010-03-04,427.1,121.32,89.9,90.85,191,97.85,100.8,81.62,436.75
2010-03-05,434,123.44,92,92.35,193.5,97.45,102.5,82.82,446.57
2010-03-08,432,123.81,92.05,73.5,193.8,98.05,101.6,81.9,445.96
2010-03-09,438,122.52,91.8,71.5,192.7,96.8,101.2,81,447.31
2010-03-10,431.5,124.18,91.85,72.05,194.3,96.85,103,81.52,448.82
2010-03-11,433.1,123.54,91.9,72.2,193,98.75,104,79.6,447.37
2010-03-12,432.5,126.5,93.8,71.85,193.1,99,104.5,74.36,439.18
2010-03-15,433,126.04,93.8,72.2,192.9,99.5,104.9,73.6,433.29
2010-03-16,437.1,128.35,95.2,71.85,195.5,99.55,104.1,73.98,442.99
2010-03-17,448.6,127.61,95.1,71.5,195,100.4,102,73.8,448.57
2010-03-18,452.1,125.02,95.3,71.2,194.2,99.55,102.8,77.1,447.75
2010-03-19,451.5,126.22,96.75,71.75,193.1,100,103.6,76.78,443.11
2010-03-22,455,124.65,96.65,71.75,193.5,99.65,103,76.42,448.77
2010-03-23,464,126.78,98.1,72,194.2,102.5,99.3,75.46,450.81
2010-03-24,461.1,124,98.5,72.55,195,103.1,99.8,74.14,449.67
2010-03-25,460.5,124.46,98.75,71.9,197.8,102.8,100.9,75.84,448.7
2010-03-26,461.5,124.92,98.5,71.15,197.2,102.8,101.1,77.16,445.85
2010-03-29,465,124.65,98.65,70.15,195,103.8,100,77.8,453.94
2010-03-30,462,126.78,97.7,68.5,194.2,104.2,100,78,454.8
2010-03-31,462.6,125.48,98.5,69.35,195.8,103.9,101.8,78,462.62
2010-04-06,472.2,126.78,99.95,70.25,197.5,103.1,101.8,76.64,482.57
2010-04-07,473.6,128.44,100.6,70.5,200.9,103.5,103,76.62,479.19
2010-04-08,470.8,127.79,98.75,69.05,200.4,102.8,103,76.9,478.06
2010-04-09,469.8,129.37,101.5,68.8,201,102.6,103.6,76.8,472.25
2010-04-12,476,129.64,103.1,68.5,201.6,103.2,103.5,76.72,462.08
2010-04-13,463,127.7,102.3,67.8,198.9,102.8,105.8,75.92,460.59
2010-04-14,460,130.48,104.8,67.65,203.2,102.5,105.1,76.02,469.27
2010-04-15,455.8,135.01,107.5,65.9,204.9,103,104.8,76.8,469.9
2010-04-16,448.5,132.79,104,67.35,204,101.2,105.1,79.2,457.7
2010-04-19,439.6,131.4,104.6,66.8,200,99.85,104.4,78.8,451.31
2010-04-20,455.9,135.84,104.6,69,203.5,100,107.9,81.48,460.52
2010-04-22,453.3,132.14,103.4,67.75,211.3,96.6,107,79.12,466.97
2010-04-23,455.3,135.66,106.7,66.9,216.6,97.5,108.4,79.98,475.91
2010-04-26,459,139.92,108.2,66.75,219,96.9,107,79.92,470.4
2010-04-27,450.1,136.03,106.8,65.75,219,95.3,110,78.88,461.65
2010-04-28,447.2,135.38,102,63,219.7,94.3,106,77.26,467.61
2010-04-29,455.5,136.31,100.7,61.7,226.2,92.1,108,76.74,478.15
2010-05-03,453.3,134.92,99.8,61.35,227.8,93.5,107,75.86,484.57
2010-05-04,443.9,132.33,97,58.7,209.6,94.7,104,76.68,470.48
2010-05-05,439.2,123.91,96.2,57,197,94.15,102.6,74.3,460.53
2010-05-06,439.9,114.84,96.35,52.45,189,92.4,102.2,74.22,450.95
2010-05-07,414.1,108.64,91.7,46.5,183,88.4,96.9,71.68,438.63
2010-05-10,446.9,122.15,95.75,54.45,204.5,92.2,103,74.44,440.69
2010-05-11,456.3,122.52,95.3,52.45,199.1,91.5,101,74.14,447.62
2010-05-12,480.4,122.7,97.5,50.05,198,93.5,102,76,443.78
2010-05-14,480.4,122.7,97.5,50.05,198,93.5,102,76,433.015
2010-05-17,470,124.92,93.95,47.23,198.4,90.75,99.2,78.6,422.25
2010-05-18,490,120.48,92.9,50.5,203,90.8,99.9,78.8,415.54
2010-05-19,485,114.84,90.5,50,198,88.65,97,80.68,423.7
2010-05-20,463,112.43,86.75,48.3,196.8,87.6,92.5,79.5,410.37
2010-05-21,461.3,112.8,87.65,47.47,203,86.7,97.2,79,417.12
2010-05-25,442.7,106.32,83.5,45.39,197,84.75,92.8,78.52,418.5
2010-05-26,452.2,113.08,86.3,46.91,195,85.5,94.9,82.8,432.25
2010-05-27,466.5,115.67,90,47.5,191.9,87.95,97.7,86.16,452.57
2010-05-28,460.1,113.73,90.2,48.07,187.6,88.95,97,84.56,444.46
2010-05-31,462,113.73,89.95,47.93,193.8,89.85,99,86.16,444.34
2010-06-01,461.7,114.56,88.75,47.39,192.5,87.5,96.3,85.62,444.22
2010-06-02,469.2,116.6,87.95,46.74,190.1,88.05,97,85.7,443.69
2010-06-03,481.4,119.37,90.85,47.89,190.7,89.5,99,87.36,452.55
2010-06-04,474.7,118.82,90.4,47.19,188.6,89.5,99.9,88.64,441.15
2010-06-07,469.3,117.43,89.55,46.63,189.1,88.55,99.9,89.26,444.31
2010-06-08,463.5,113.73,88.9,45.49,186.4,86.1,99,91.36,448.4
2010-06-09,483.1,111.69,90.45,43.93,185.1,87,101.3,91.54,460.69
2010-06-10,500,113.45,93.3,43.26,187.9,88.15,101.8,91.38,466.16
2010-06-11,488,114.47,93.9,43.71,186.5,87.8,101,90.38,452.59
2010-06-14,494.5,116.32,96,58.15,190.4,88.3,103.4,92.06,456.12
2010-06-15,493,116.5,96.4,57.4,190.9,88.25,102.7,93.86,466.84
2010-06-16,488.5,115.49,96.1,53.85,193,88.5,101.5,92.02,470.57
2010-06-17,488.9,117.06,96.9,51.3,190,89.5,100,91.7,462.04
2010-06-18,494.8,120.39,98.6,61,193.5,88.4,100,91.52,464.11
2010-06-21,490.5,121.69,98.35,58.9,195.3,88.4,101,90.46,467.27
2010-06-22,487.3,119.93,96.45,58.25,192.2,87.95,102.5,91.08,468.75
2010-06-23,484,118.35,95.8,58,192,87.5,101.6,90.4,463.15
2010-06-24,478.9,114.93,93.65,54.6,186.7,86.95,99.6,88.88,464.39
2010-06-25,478.3,111.97,92.6,51.65,183.9,86.3,99.4,88.2,477.46
2010-06-28,480,113.91,93.5,49.87,182,85.65,99,88.7,472.09
2010-06-29,461,108.55,88,45.88,175.9,83.1,96.7,86,463.72
2010-06-30,466.9,109.29,88.35,43.45,177.8,83.3,97.4,89.5,459.09
2010-07-01,449,108.55,85.6,40.91,177.4,82.8,95.5,89.3,440.77
2010-07-02,465.5,110.86,88.7,59.65,178.5,83.85,97,90.56,428.3
2010-07-05,463.7,110.58,89.4,59.6,175.4,83.5,95.9,92.78,427.4
2010-07-06,477.5,115.67,93.05,59.9,183.9,85.3,97,94.86,426.5
2010-07-07,480,118.17,92.4,62.4,187.9,86.35,97.5,94.68,439.29
2010-07-08,480,119.93,94.9,64.6,190,86.25,97,92.8,444.2
2010-07-09,486,116.13,95.95,63.7,189.6,86.1,95,92.52,448.9
2010-07-12,488,116.13,96.35,61.25,190.5,87.05,97,93.22,444.45
2010-07-13,492,120.67,96.7,61.95,192,87,96.4,93.56,457.63
2010-07-14,485.4,122.52,97.55,61.15,189,87.05,97,93.2,451.83
2010-07-15,486.6,120.76,97.25,60.6,189,88,97.5,92.9,444.99
2010-07-16,478.9,116.32,95.4,59.15,184.7,87.05,97,92.88,435.67
2010-07-19,480.8,114.38,93.2,57.8,180.8,87,96.8,92.26,440.26
2010-07-20,480,113.17,93.65,60.1,179.3,85.55,95.1,87.5,449.3
2010-07-21,486.7,113.17,97.3,59.5,181,85.95,95,88.34,445.13
2010-07-22,491.2,115.49,98.9,60.35,185,86.9,95.1,85.44,459.87
2010-07-23,510,115.21,99,59,186.5,85.6,95.5,83.02,456.35
2010-07-26,506,118.72,102.2,60,189.1,85.25,95.5,82.68,455.19
2010-07-27,512,123.72,100.3,59.55,194.5,86.45,93.9,85.36,443.19
2010-07-28,510,126.22,99.65,60,196,87.1,95.3,86.44,441.6
2010-07-29,513,128.63,98.7,60.3,197.6,86.75,94.8,86.44,446.7
2010-07-30,507,124.65,102,61,199.4,87,95,83.8,451.53
2010-08-02,520,130.2,104.2,62.45,203.7,86.65,97,84.72,463.58
2010-08-03,522.5,132.33,105.7,62.1,207.7,88.7,95.8,85.4,465.18
2010-08-04,522.5,130.94,108.6,62.6,205.1,90.05,95.6,83.4,465.33
2010-08-05,515,129.74,105.3,62.65,205.8,89.9,95.2,83.2,463.5
2010-08-06,489,127.52,103.1,62,204.3,89.45,95.1,82.6,456.39
2010-08-09,501,130.11,105,63.05,205.3,90.8,96.9,84.24,458.08
2010-08-10,493.4,123.35,103.4,65.95,202,89.35,96.6,85.18,455.24
2010-08-11,491.5,120.85,100.5,65,196,89.3,93.7,83.9,446.59
2010-08-12,502,119.19,100.7,65.5,194.2,89.15,95.4,84.44,441.22
2010-08-13,499,118.45,99.9,65.5,194.7,89,92.6,84.5,438.85
2010-08-16,499.7,117.06,99.05,67.2,195.5,89.25,91.5,84.64,437.23
2010-08-17,510,117.06,101,67.15,197.8,89.65,91,84.84,438.9
2010-08-18,514,121.69,100.5,61.3,193.9,90.15,90,83.96,436.22
2010-08-19,523,120.48,99.8,60,192.8,91.1,89.5,84.06,432.03
2010-08-20,524,118.82,96,57.45,187,90.1,87.4,82.14,430.59
2010-08-23,524.5,121.32,97.15,56.6,191,90.55,88.2,82.5,428.64
2010-08-24,524,117.89,93.8,54,186.5,89,85.6,80.58,423.08
2010-08-25,529,114.38,93.5,51.3,191.1,89.05,86.4,80.74,428.2
2010-08-26,544,117.24,96,53.7,189,88.4,86.9,80.36,430.4
2010-08-27,550.5,119.37,93.75,57,196.3,88.4,82.5,78.8,440.39
2010-08-30,546.5,119.84,94,56.5,191,88.55,79.6,79.62,438.01
2010-08-31,553.5,120.95,93.1,55.65,193.5,89.25,79.3,79.72,422.26
2010-09-01,569.5,124.92,99.1,59,197,89.85,80.5,81.42,429.87
2010-09-02,558.5,126.78,98.4,56.85,198,89.5,79.5,81.5,435.72
2010-09-03,562.5,127.7,99.6,57,205,90.6,82.2,82.76,432.75
2010-09-06,558,126.59,99.5,57,206,91.35,83.8,84,432.79
2010-09-07,559,126.04,99.2,57.3,203,90.85,82.9,84.08,432.83
2010-09-08,568,125.94,100,58.25,204.2,92.25,83,83.76,437.87
2010-09-09,574.5,127.15,103,61,205.5,94.65,83.4,84.44,434.82
2010-09-10,575,125.48,103.2,62.3,205.9,95,83.9,85.84,447.29
2010-09-13,569,127.7,104.3,65.25,210,95.15,84.5,86.5,449.03
2010-09-14,577,126.41,104,63.2,209.4,95,83.3,86.08,445.03
2010-09-15,568,125.76,103,62.5,211.5,94.75,82.5,86.2,435.85
2010-09-16,560,124,102.1,60.05,210.4,94.8,82.5,85.08,424.59
2010-09-17,559,123.44,102.6,60.75,214,94.4,83.2,84.16,420.01
2010-09-20,566,123.44,103,61.45,215,95,82.5,83.76,426.43
2010-09-21,574.5,125.2,105.7,63.5,218,95.25,82.6,83.22,417.41
2010-09-22,563.5,125.67,106.8,63,216.5,95.8,83.6,82.08,416.48
2010-09-23,568,124,106.1,62,214,96.35,82.7,81.82,420.37
2010-09-24,577,123.35,109.3,61.8,217,96.8,84.3,82.82,424.91
2010-09-27,580,121.69,111.3,62.6,216.5,96.2,83.7,81.56,423.02
2010-09-28,571,120.11,110,62.15,212,96.85,82.7,80.94,421.73
2010-09-29,565,117.43,112.4,61.75,211.8,97.65,86.5,80.12,426.27
2010-09-30,570,122.06,111.6,61.6,213.2,96.55,87.1,80.68,436.64
2010-10-01,558.5,120.67,112,60.95,213,95.7,86.7,80.5,442.92
2010-10-04,563.5,122.61,109.4,60.55,212.2,96.2,82.7,80.3,443.12
2010-10-05,578.5,125.57,109.8,61.3,214.4,96.7,83.5,80.74,448.05
2010-10-06,587,127.79,110.5,60.85,220.1,97,84.5,82,447.79
2010-10-07,585,128.26,110.9,61.95,220.7,98,83.6,82.6,435.89
2010-10-08,590,126.78,108.6,61.45,223.3,98.9,84.4,82.9,444.23
2010-10-11,599.5,128.26,112.1,61.8,221.9,99.6,83.7,83,439.94
2010-10-12,593.5,127.89,112.6,62.75,225.1,100.1,86,83,440.26
2010-10-13,607.5,132.88,116.2,67,233.5,103.7,87.4,83.58,443.45
2010-10-14,597,131.12,114,67.5,234.9,104.7,87,85.1,437.29
2010-10-15,584,128.26,113,71.45,233,105.4,87,83,430.01
2010-10-18,589,129.37,112.8,73.5,233.7,104.2,87,82.66,445.87
2010-10-19,578,130.66,113,71.15,239,107.2,86.5,83.48,427.73
2010-10-20,576,132.51,115,70.7,239.7,107.5,88.4,81.98,439.97
2010-10-21,598,134.83,115.5,68.8,240,107.3,89.5,83,428.68
2010-10-22,595.5,132.88,116,69,239.7,106.5,90.1,82.04,437.22
2010-10-25,597,134.55,116.9,71,241.9,107,93.8,81.84,438.62
2010-10-26,591,132.42,115,70.85,241.7,107.1,94,81.24,442.52
2010-10-27,584,135.01,115,70.65,243.4,106.9,91.8,79.86,442.76
2010-10-28,588.5,134.18,112.4,70.9,239.8,106.9,92.5,79.86,442.33
2010-10-29,586,131.87,109.8,71.1,240,107,93,80.34,438.16
2010-11-01,594,130.38,112,70.5,239.7,108.5,94,80.6,444.17
2010-11-02,596,136.95,110.6,70.1,237.5,107.8,93.5,80.6,446.28
2010-11-03,589,140.93,110.9,68.2,232,103.3,93.1,79.02,450.54
2010-11-04,598.5,143.06,112.9,67.2,238.3,102.1,93.9,80.18,452.65
2010-11-05,595.5,138.71,114.4,67,240.7,103.6,93,79.7,459.63
2010-11-08,595,135.57,114.5,66.5,236.7,103.9,93.5,80.8,466.27
2010-11-09,565,140.66,114.8,68.2,240.9,104.8,94,81.06,463.57
2010-11-10,558,138.81,113.8,66.8,239.1,105.9,95.1,80.78,475.3
2010-11-11,568,137.69,112.6,65.65,239.1,105.3,94,81.6,477.75
2010-11-12,559,134.27,113.3,66.3,237.8,105.5,94,82.78,461.47
2010-11-15,557,134.18,115.6,66.75,250,106.2,92.1,82.76,464.23
2010-11-16,554.5,132.33,114.5,67.1,241,105.5,90.1,79.5,450.94
2010-11-17,551,134.18,114.1,67.5,234.8,106,85.5,81.2,444.83
2010-11-18,548,136.58,115.3,68.5,239.7,108,86,81.2,447.12
2010-11-19,548,136.58,115.5,67.45,236.7,108.3,86.8,81.54,444.41
2010-11-22,544,136.86,115.4,68.2,234,107.8,86,81.56,446.59
2010-11-23,550,133.72,113.9,67.25,231,106.7,86.6,80.06,448.83
2010-11-24,545,134.46,113.4,68.15,231,106.2,87.5,80.4,468.67
2010-11-25,554,134.46,113,68,227.6,107.9,89.2,80.14,474.486666666667
2010-11-26,551.5,133.72,112.9,67,227.7,106.4,88.4,82.3,480.303333333333
2010-11-29,541.5,133.16,112.9,65.55,228,101.4,85.5,80.12,486.12
2010-11-30,542,131.77,113.1,64.7,234.1,99.45,86.1,80,482.28
2010-12-01,547,139.55,115.7,64.95,242,101.7,88,80.2,492.97
2010-12-02,566,140.38,119.5,66.45,254.6,104,88.8,83.4,498.5
2010-12-03,566.5,138.99,118,66.6,251.3,102.1,89.2,83.64,501.83
2010-12-06,566.5,137.97,117.5,66.2,251.9,102.8,89.3,84.4,501.58
2010-12-07,567.5,136.86,120.3,65.35,254,101.9,90,83.72,494.63
2010-12-08,567.5,133.16,120.3,67.05,252,104.8,89.8,84.14,498.54
2010-12-09,560.5,132.79,118.6,66.6,251,104.4,89.4,83.24,498.59
2010-12-10,565,132.98,118.6,66.4,251,104.7,88,83.2,494.15
2010-12-13,563,134.18,119.7,66.35,252.9,104.5,87,83.12,497.88
2010-12-14,561,133.9,119.3,66.3,251.1,104.3,87.6,83.68,489.77
2010-12-15,556.5,133.25,118,65.8,249,104.2,88,83.28,494.28
2010-12-16,555,131.49,116.5,65.5,239.7,104.1,86.6,82.46,493.58
2010-12-17,562,133.35,119.1,65.85,246.9,104.8,86,82.82,494.52
2010-12-20,560,133.72,118.4,67.95,241.6,104.9,88,82.1,503.25
2010-12-21,565,133.72,120.5,67.35,240.9,103.7,86.3,82.92,508.72
2010-12-22,568.5,133.44,120.7,65.7,241,103,86,83.04,514.23
2010-12-23,567.5,133.72,121.3,66.5,244.5,103.4,87.9,83.38,522.06
2010-12-27,562.5,132.33,121.3,66.1,243,104.4,87.9,83.38,516.32
2010-12-28,563,131.87,121.9,65.65,243,106.5,88.6,84.7,516.86
2010-12-29,563,131.87,121.8,65.25,243.5,107.5,89.3,83.82,516.98
2010-12-30,558.5,132.33,123.3,65.5,259,106,89.5,82.4,504.3
2011-01-03,576,134.64,128,65.45,251.5,112.9,84.2,82.5,511.19
2011-01-04,571,135.94,124.4,66,250,110.5,82.5,84.18,496.37
2011-01-05,571.5,135.47,120.5,65.75,246,111.5,81.7,83.72,509.33
2011-01-06,578.5,134.92,120.2,65.5,245.5,113.9,83.8,86.28,503.08
2011-01-07,555,132.42,119.8,65.15,244.8,113.3,82.4,90,506.01
2011-01-10,555.5,129.27,118.5,64.95,241,111.5,81.5,89.28,515.28
2011-01-11,552.5,128.81,120,65.6,243.3,112.8,81.3,89.64,524.23
2011-01-12,555,127.7,120,65.15,242.5,114,82,92.6,527.5
2011-01-13,542,125.11,119.4,65.5,242.5,112.9,82.8,90.46,515.9
2011-01-14,543,128.35,120.9,63.6,242,113.2,82.5,90.9,510.87
2011-01-17,534.5,126.22,119.7,63.6,241,114.5,83,90.22,510.04
2011-01-18,561,129.92,120,63.8,242,116.5,84.3,91.18,509.21
2011-01-19,562,130.66,119.9,64.6,246.5,113.5,85.6,91,501.27
2011-01-20,549,130.85,117.6,63.95,242.5,113.4,84.6,89.34,491.51
2011-01-21,543,130.01,115.5,63.2,244.9,112,84.2,89.08,491.21
2011-01-24,552,128.9,114.5,62.2,242.5,112.5,82.5,88.2,482.57
2011-01-25,546,128.44,115,63.15,241.5,111.5,83,86.34,472.53
2011-01-26,547.5,130.01,117.6,63.95,240.7,113.2,83.8,86.74,475.7
2011-01-27,547.5,134.64,117,63.95,244,112.7,85.9,88.32,465.4
2011-01-28,542,134.92,115.8,63.5,245.7,113,84.2,88.4,485.73
2011-01-31,542.5,135.1,113.7,63.2,244.5,113,83,87.2,501.91
2011-02-01,555,135.57,117.5,62.55,246,112.8,84.2,88.02,491.95
2011-02-02,549,136.95,116.3,62.4,244,112.8,86.5,87.4,490.73
