"Date","MaerskB","FLSmidth","NovoNordisk","OilPrice"
2010-01-04,6612.85,389,67.6,421.55
2010-01-05,6664.75,384.5,66.78,421.34
2010-01-06,6730.26,374.9,67.5,431.3
2010-01-07,6972.61,376,67.12,430.01
2010-01-08,7131.28,375.9,68,431.4
2010-01-11,7270.77,375,70,422.66
2010-01-12,7265.54,368,69.2,415.11
2010-01-13,7209.74,370,69.28,406.95
2010-01-14,7366.67,379,70.2,407.76
2010-01-15,7514.87,375,68.7,403.84
2010-01-18,7537.54,372,68.2,407.84
2010-01-19,7575.9,375,69.8,411.84
2010-01-20,7445.13,370.5,70.8,408.76
2010-01-21,7380.61,360,68.52,402.62
2010-01-22,7361.43,350,68.28,392.64
2010-01-25,7385.85,349,69.5,395.95
2010-01-26,7288.2,342,72.6,394.9
2010-01-27,7103.38,337,73.9,389.76
2010-01-28,7253.33,343,73.84,391.62
2010-01-29,7370.15,346.6,73.3,388.53
2010-02-01,7485.23,344.8,74.94,398.3
2010-02-02,7591.59,351,73,412.58
2010-02-03,7610.77,351.5,76.2,409.83
2010-02-04,7418.97,337.5,75,393.22
2010-02-05,7221.95,333.9,75.54,387.12
2010-02-08,7166.15,320.8,75.22,391.35
2010-02-09,7253.33,326,75.06,399.02
2010-02-10,7296.92,317.8,75,403.78
2010-02-11,7342.26,318.1,75.94,408.57
2010-02-12,7403.28,310.9,77.38,406.62
2010-02-15,7333.54,319.2,78.28,413.28
2010-02-16,7359.69,337.7,78.54,419.94
2010-02-17,7513.13,343.4,78.6,419.35
2010-02-18,7492.2,346,78.98,433.75
2010-02-19,7462.56,345.8,79.12,439.39
2010-02-22,7565.43,346.5,79.04,437.9
2010-02-23,7481.74,339.5,77.8,432.34
2010-02-24,7514.87,338.5,78.2,439.52
2010-02-25,7267.28,342.7,77.4,431.31
2010-02-26,7289.95,348,77.2,436.91
2010-03-01,7525.33,360,79,433.08
2010-03-02,7532.31,365.8,79.14,437.71
2010-03-03,7635.18,364.9,79.26,441.19
2010-03-04,7338.77,356.9,79.58,436.75
2010-03-05,7554.97,364.1,80.82,446.57
2010-03-08,7457.33,363.3,81.64,445.96
2010-03-09,7373.64,365,81.64,447.31
2010-03-10,7595.08,375,82.6,448.82
2010-03-11,7500.92,380,81.88,447.37
2010-03-12,7462.56,378.8,81.68,439.18
2010-03-15,7434.67,376.5,81.94,433.29
2010-03-16,7450.36,385,83.8,442.99
2010-03-17,7410.26,389,84.78,448.57
2010-03-18,7392.82,385.9,84.3,447.75
2010-03-19,7323.08,378.4,85.46,443.11
2010-03-22,7361.43,380,85,448.77
2010-03-23,7466.05,388,86.2,450.81
2010-03-24,7445.13,386.7,88.98,449.67
2010-03-25,7424.2,388.6,88.4,448.7
