"Date","SimCorp","Ambu","DanskeBank","DSV","Genmab","SydBank","Vestas","WilliamDemant","GBP","NOK","C20index","TenYearBond"
2010-01-04,98.5,5.45,111.97,96,92,136,66.4,78,8.35,0.9,347.85,3.67
2010-01-05,98.1,5.4,115.67,95.95,89.6,137.5,64.38,77,8.26,0.91,345.14,3.66
2010-01-06,99,5.65,117.06,100.5,88.75,137.7,63.58,76.34,8.28,0.91,346.37,3.69
2010-01-07,98.5,5.5,120.76,101,88,138,64.1,77,8.27,0.91,351.28,3.67
2010-01-08,97.8,5.55,122.61,101.7,89,140.5,63.8,78.02,8.33,0.91,353.23,3.67
2010-01-11,100,5.65,125.29,104,89.9,140,65.8,78.24,8.28,0.91,359.54,3.64
2010-01-12,99.5,5.62,124.46,102,89.6,139.7,63.4,76.44,8.29,0.91,356.73,3.6
2010-01-13,98.6,5.62,123.72,99.5,89.4,142.1,65.4,77.1,8.32,0.91,356.53,3.57
2010-01-14,98.8,5.75,126.78,99.2,91.25,148.5,66.8,77.28,8.36,0.91,361.79,3.61
2010-01-15,99,5.9,125.39,97.5,97.5,146,66,77.4,8.45,0.91,359.27,3.56
2010-01-18,97.7,5.9,124.46,98.8,104,146.6,65.8,77.8,8.46,0.91,359.95,3.54
2010-01-19,99,5.9,122.61,98.4,99.75,143.5,65.54,77.78,8.51,0.91,360.47,3.6
2010-01-20,98.8,5.97,119.09,97,99.05,141.8,61.7,77.4,8.56,0.92,356.31,3.54
2010-01-21,99.9,5.9,117.52,96,96,140.2,60.8,77.2,8.55,0.91,349.69,3.58
2010-01-22,97.3,5.8,116.97,95,99,138.7,59.14,77.18,8.5,0.91,346.87,3.57
2010-01-25,97.5,5.75,117.98,94.3,102.5,139.6,60.4,77.36,8.49,0.91,349.86,3.55
2010-01-26,97.6,5.85,115.49,93,100.6,136.2,57.8,78.64,8.53,0.9,348.97,3.56
2010-01-27,98,5.85,115.67,93.95,99,136.2,56,81.24,8.58,0.91,349.61,3.56
2010-01-28,97.1,5.88,117.98,94.75,98,138,55.8,84,8.64,0.91,350.95,3.55
2010-01-29,96.3,5.85,120.76,96.3,97.95,139.9,57.8,84.14,8.59,0.91,354.85,3.57
2010-02-01,99.6,6.3,122.15,95,96.5,142.1,57.2,83.9,8.51,0.91,358.43,3.53
2010-02-02,98.9,6.4,123.54,95.6,95,147.3,57.2,83.6,8.52,0.91,358.17,3.56
2010-02-03,98.4,6.22,119.09,93.75,99,146.5,57.5,82.7,8.5,0.91,360.48,3.55
2010-02-04,96.8,6.38,122.52,91.65,98.65,145.2,54.4,83.1,8.53,0.91,355.92,3.54
2010-02-05,97,6.15,119.65,89.8,97.5,142,54.96,81.4,8.53,0.91,350.75,3.49
2010-02-08,94.4,6.25,115.67,89.15,93.85,142,53.96,79.4,8.5,0.91,345.43,3.52
2010-02-09,92.3,6.15,116.5,86.8,93.95,142.6,58.18,80.44,8.46,0.91,348.74,3.52
2010-02-10,92.6,6.15,119.19,87.6,92.75,140.1,53.7,78.22,8.46,0.92,346.31,3.54
2010-02-11,89,6.15,117.24,86.9,91.45,138.4,54.7,78.9,8.48,0.92,348.53,3.54
2010-02-12,90,6.15,116.41,85.65,90.75,139.8,54.08,78,8.57,0.92,349.74,3.53
2010-02-15,89.9,6.28,115.67,87,91,140.3,53.94,78.8,8.58,0.92,350.64,3.55
2010-02-16,89.5,6.2,116.13,87.5,92.45,140.5,55.2,79.2,8.55,0.92,354.54,3.57
2010-02-17,89.8,6.2,116.69,88.95,95.35,138.7,56.82,78.92,8.57,0.93,357.57,3.53
2010-02-18,88.6,6.2,116.6,89,95.9,136.3,58.04,79.2,8.55,0.92,358.6,3.57
2010-02-19,87.1,6.2,115.86,89,94.65,136.1,57.92,79.38,8.47,0.92,358.76,3.59
2010-02-22,86.3,6.15,116.23,88.6,93.5,138.7,59,79.2,8.46,0.93,360.99,3.6
2010-02-23,88,6.12,115.67,86.85,90.65,136.6,56.22,78.32,8.46,0.93,357.44,3.46
2010-02-24,85.5,6.18,116.04,86.45,91.3,135.5,56.64,78,8.48,0.93,358.05,3.46
2010-02-25,92.3,6.15,116.23,84.6,90.05,133,55.12,77.32,8.45,0.93,353.95,3.42
2010-02-26,96.4,6.3,115.21,85.05,91.75,134.5,54,78,8.34,0.93,354.77,3.44
2010-03-01,98.5,6.38,116.6,90.65,91.7,137.9,53.84,80.2,8.21,0.92,361.86,3.41
2010-03-02,98,6.2,119.37,92.95,92.2,138.7,53.36,80.84,8.21,0.92,364.37,3.42
2010-03-03,101,6.28,121.32,92.9,90.55,140.5,55.88,81.98,8.22,0.92,368.12,3.47
2010-03-04,100.8,6.3,121.32,89.9,90.85,140.4,54.32,81.62,8.22,0.92,364.62,3.41
2010-03-05,102.5,6.3,123.44,92,92.35,143.2,55,82.82,8.25,0.92,371.1,3.46
2010-03-08,101.6,6.3,123.81,92.05,73.5,143.8,55.16,81.9,8.25,0.92,371.38,3.45
2010-03-09,101.2,6.32,122.52,91.8,71.5,143.3,55.02,81,8.21,0.93,369.55,3.45
2010-03-10,103,6.32,124.18,91.85,72.05,144.6,55.74,81.52,8.16,0.93,374.02,3.44
2010-03-11,104,6.35,123.54,91.9,72.2,146.5,54.9,79.6,8.19,0.93,372.06,3.46
2010-03-12,104.5,6.6,126.5,93.8,71.85,147,54.28,74.36,8.19,0.93,372.34,3.45
2010-03-15,104.9,6.65,126.04,93.8,72.2,147.8,52.72,73.6,8.17,0.93,371.01,3.43
2010-03-16,104.1,6.62,128.35,95.2,71.85,149,54.46,73.98,8.2,0.93,377.02,3.39
2010-03-17,102,6.72,127.61,95.1,71.5,147,54.5,73.8,8.3,0.93,378.35,3.38
2010-03-18,102.8,6.68,125.02,95.3,71.2,146.5,55.76,77.1,8.32,0.93,377.87,3.4
2010-03-19,103.6,6.62,126.22,96.75,71.75,148.5,57.06,76.78,8.32,0.93,379.68,3.4
2010-03-22,103,6.62,124.65,96.65,71.75,145,56.84,76.42,8.28,0.92,378.16,3.36
2010-03-23,99.3,6.65,126.78,98.1,72,147.7,57.72,75.46,8.26,0.93,383.79,3.36
2010-03-24,99.8,6.6,124,98.5,72.55,146.4,58.64,74.14,8.32,0.93,386.71,3.39
2010-03-25,100.9,6.68,124.46,98.75,71.9,147.4,60.74,75.84,8.32,0.92,388.48,3.45
2010-03-26,101.1,6.53,124.92,98.5,71.15,147.3,59.7,77.16,8.27,0.92,384.57,3.44
2010-03-29,100,6.6,124.65,98.65,70.15,147,59.6,77.8,8.27,0.92,382.89,3.42
2010-03-30,100,6.6,126.78,97.7,68.5,148.4,58.78,78,8.33,0.93,383.23,3.39
2010-03-31,101.8,6.6,125.48,98.5,69.35,147.8,59.9,78,8.37,0.93,383.04,3.38
2010-04-06,101.8,6.6,126.78,99.95,70.25,149,61.44,76.64,8.44,0.93,391.65,3.43
2010-04-07,103,6.5,128.44,100.6,70.5,149.1,65.96,76.62,8.47,0.93,397.24,3.4
2010-04-08,103,6.75,127.79,98.75,69.05,150.1,64.78,76.9,8.51,0.94,392.32,3.41
2010-04-09,103.6,6.72,129.37,101.5,68.8,152.9,65.4,76.8,8.54,0.94,393.99,3.44
2010-04-12,103.5,6.7,129.64,103.1,68.5,156,66.12,76.72,8.43,0.93,397.76,3.43
2010-04-13,105.8,7.08,127.7,102.3,67.8,153,65.7,75.92,8.45,0.93,395.38,3.41
2010-04-14,105.1,7.28,130.48,104.8,67.65,155.4,66.4,76.02,8.44,0.93,400.53,3.41
2010-04-15,104.8,7.1,135.01,107.5,65.9,155.1,66.7,76.8,8.48,0.94,405.22,3.4
2010-04-16,105.1,7.12,132.79,104,67.35,155.6,67.4,79.2,8.49,0.94,402.68,3.34
2010-04-19,104.4,7.12,131.4,104.6,66.8,152.9,66,78.8,8.45,0.93,399.28,3.35
2010-04-20,107.9,7.35,135.84,104.6,69,154.5,68.42,81.48,8.49,0.94,406.88,3.34
2010-04-22,107,7.53,132.14,103.4,67.75,153.8,66.6,79.12,8.59,0.94,401.2,3.33
2010-04-23,108.4,7.5,135.66,106.7,66.9,158,68.18,79.98,8.58,0.94,407.43,3.31
2010-04-26,107,7.58,139.92,108.2,66.75,160.8,72.02,79.92,8.63,0.95,414.41,3.29
2010-04-27,110,7.53,136.03,106.8,65.75,158,70.2,78.88,8.58,0.95,408.95,3.24
2010-04-28,106,7.2,135.38,102,63,159,67,77.26,8.55,0.95,401.8,3.23
2010-04-29,108,7.2,136.31,100.7,61.7,164.6,68.44,76.74,8.58,0.95,411.5,3.2
2010-05-03,107,7.22,134.92,99.8,61.35,164.5,68.78,75.86,8.57,0.95,413.48,3.21
2010-05-04,104,7.22,132.33,97,58.7,160,64.86,76.68,8.62,0.95,405.51,3.05
2010-05-05,102.6,7.25,123.91,96.2,57,151,62.66,74.3,8.7,0.95,395.02,3.01
2010-05-06,102.2,7.6,114.84,96.35,52.45,141.9,61.12,74.22,8.83,0.96,387.15,2.94
2010-05-07,96.9,7.4,108.64,91.7,46.5,138.3,58.46,71.68,8.57,0.94,371.12,2.99
2010-05-10,103,7.68,122.15,95.75,54.45,153,62.42,74.44,8.61,0.95,394.73,3.11
2010-05-11,101,7.45,122.52,95.3,52.45,145.9,60.66,74.14,8.66,0.95,393.52,3.11
2010-05-12,102,7.55,122.7,97.5,50.05,147.5,62.72,76,8.76,0.96,403.87,3.1
2010-05-14,102,7.55,122.7,97.5,50.05,147.5,62.72,76,8.73,0.96,402.335,3.065
2010-05-17,99.2,7.1,124.92,93.95,47.23,143.8,60.76,78.6,8.7,0.96,400.8,3.03
2010-05-18,99.9,7.32,120.48,92.9,50.5,142.2,61.76,78.8,8.66,0.96,402.73,2.96
2010-05-19,97,7.12,114.84,90.5,50,139.5,59.7,80.68,8.67,0.95,391.85,2.89
2010-05-20,92.5,6.85,112.43,86.75,48.3,134.8,56.62,79.5,8.61,0.93,378.99,2.79
2010-05-21,97.2,6.75,112.8,87.65,47.47,136,58.32,79,8.55,0.91,375.91,2.78
2010-05-25,92.8,6.53,106.32,83.5,45.39,132.1,55.38,78.52,8.73,0.92,367.83,2.69
2010-05-26,94.9,6.7,113.08,86.3,46.91,137.9,58.24,82.8,8.71,0.93,381.11,2.73
2010-05-27,97.7,6.95,115.67,90,47.5,139.2,57.8,86.16,8.79,0.93,389.85,2.76
2010-05-28,97,6.85,113.73,90.2,48.07,139.9,58.16,84.56,8.75,0.93,387,2.7
2010-05-31,99,6.88,113.73,89.95,47.93,142.1,57.92,86.16,8.77,0.94,388.69,2.69
2010-06-01,96.3,7.22,114.56,88.75,47.39,142.5,57.32,85.62,8.91,0.94,388.05,2.72
2010-06-02,97,7.45,116.6,87.95,46.74,141.1,55.96,85.7,8.93,0.94,391.19,2.71
2010-06-03,99,7.35,119.37,90.85,47.89,146,58,87.36,8.9,0.95,401.25,2.7
2010-06-04,99.9,7.4,118.82,90.4,47.19,145.4,56.7,88.64,8.99,0.95,397.2,2.62
2010-06-07,99.9,7.45,117.43,89.55,46.63,142.2,55.6,89.26,9.02,0.94,392.5,2.61
2010-06-08,99,7.42,113.73,88.9,45.49,138.6,54.86,91.36,8.98,0.93,389.89,2.61
2010-06-09,101.3,7.35,111.69,90.45,43.93,140.3,54.94,91.54,9.01,0.94,393.67,2.63
2010-06-10,101.8,7.35,113.45,93.3,43.26,142.7,57,91.38,9.01,0.95,401.82,2.74
2010-06-11,101,7.32,114.47,93.9,43.71,144.5,57.74,90.38,8.97,0.95,402.22,2.68
2010-06-14,103.4,7.3,116.32,96,58.15,145.3,59.6,92.06,8.95,0.95,410.66,2.72
2010-06-15,102.7,7.2,116.5,96.4,57.4,144.6,59.36,93.86,8.94,0.95,411.12,2.79
2010-06-16,101.5,7.15,115.49,96.1,53.85,143.5,59.48,92.02,8.95,0.94,408.98,2.78
2010-06-17,100,7.12,117.06,96.9,51.3,140,58.2,91.7,8.91,0.95,408.45,2.77
2010-06-18,100,7,120.39,98.6,61,140.3,57.88,91.52,8.9,0.95,417.24,2.83
2010-06-21,101,7.2,121.69,98.35,58.9,140.5,58,90.46,8.92,0.95,421.23,2.83
2010-06-22,102.5,7.18,119.93,96.45,58.25,138.6,57.7,91.08,8.92,0.94,416.97,2.77
2010-06-23,101.6,7.2,118.35,95.8,58,138,57.38,90.4,9.05,0.94,413.83,2.76
2010-06-24,99.6,7.25,114.93,93.65,54.6,134.8,56,88.88,9.09,0.93,407.01,2.71
2010-06-25,99.4,7.4,111.97,92.6,51.65,132.3,53.94,88.2,9.04,0.93,403.36,2.73
2010-06-28,99,7.38,113.91,93.5,49.87,129.6,53.04,88.7,9.08,0.94,404.47,2.69
2010-06-29,96.7,7.38,108.55,88,45.88,125.8,50.3,86,9.19,0.94,391.07,2.67
2010-06-30,97.4,7.38,109.29,88.35,43.45,124.8,51.06,89.5,9.11,0.93,393.02,2.68
2010-07-01,95.5,7.45,108.55,85.6,40.91,122.6,49.5,89.3,9.06,0.93,383.73,2.67
2010-07-02,97,7.47,110.86,88.7,59.65,122.8,51.62,90.56,9.03,0.92,390.34,2.69
2010-07-05,95.9,7.4,110.58,89.4,59.6,122.8,51.28,92.78,9,0.92,391.45,2.66
2010-07-06,97,7.55,115.67,93.05,59.9,127.2,52.62,94.86,8.99,0.92,401.45,2.68
2010-07-07,97.5,7.55,118.17,92.4,62.4,130,53.04,94.68,8.96,0.92,404.31,2.71
2010-07-08,97,7.6,119.93,94.9,64.6,131.8,53.54,92.8,8.92,0.92,406.98,2.73
2010-07-09,95,7.55,116.13,95.95,63.7,132.8,53.44,92.52,8.92,0.93,406.58,2.73
2010-07-12,97,7.7,116.13,96.35,61.25,132.2,52.5,93.22,8.91,0.93,407.99,2.7
2010-07-13,96.4,7.6,120.67,96.7,61.95,134.7,52.92,93.56,8.96,0.94,410.64,2.75
2010-07-14,97,7.25,122.52,97.55,61.15,135.5,53.08,93.2,8.93,0.94,413.72,2.74
2010-07-15,97.5,7.45,120.76,97.25,60.6,136.2,55.12,92.9,8.92,0.94,415.38,2.75
2010-07-16,97,7.18,116.32,95.4,59.15,133.3,56.32,92.88,8.81,0.93,409.33,2.7
2010-07-19,96.8,7.12,114.38,93.2,57.8,131.8,55.26,92.26,8.79,0.92,405.55,2.75
2010-07-20,95.1,7.28,113.17,93.65,60.1,131.1,55.74,87.5,8.79,0.92,401.22,2.72
2010-07-21,95,7.3,113.17,97.3,59.5,132.7,55.96,88.34,8.88,0.93,405.03,2.7
2010-07-22,95.1,7.3,115.49,98.9,60.35,133.9,58.1,85.44,8.84,0.93,409.84,2.74
2010-07-23,95.5,7.3,115.21,99,59,132.6,57.8,83.02,8.9,0.94,410.99,2.81
2010-07-26,95.5,7.47,118.72,102.2,60,135.2,57.6,82.68,8.93,0.93,412.56,2.83
2010-07-27,93.9,7.18,123.72,100.3,59.55,138.7,57.8,85.36,8.89,0.93,414.06,2.86
2010-07-28,95.3,7.25,126.22,99.65,60,138.2,56.56,86.44,8.94,0.93,412.92,2.82
2010-07-29,94.8,7.2,128.63,98.7,60.3,141.5,57.36,86.44,8.9,0.93,415.06,2.81
2010-07-30,95,7.25,124.65,102,61,142.5,55.6,83.8,8.92,0.94,410.83,2.76
2010-08-02,97,7.3,130.2,104.2,62.45,144.5,56.96,84.72,9.02,0.95,420.85,2.8
2010-08-03,95.8,7.45,132.33,105.7,62.1,145.5,56.42,85.4,8.98,0.95,425.52,2.71
2010-08-04,95.6,7.32,130.94,108.6,62.6,144.3,58,83.4,8.99,0.94,423.72,2.71
2010-08-05,95.2,7.28,129.74,105.3,62.65,145.2,58.8,83.2,8.98,0.95,424.84,2.66
2010-08-06,95.1,7.4,127.52,103.1,62,143.1,59.66,82.6,8.98,0.95,419.48,2.61
2010-08-09,96.9,7.47,130.11,105,63.05,144.2,60.8,84.24,8.97,0.94,425.49,2.62
2010-08-10,96.6,7.35,123.35,103.4,65.95,140.1,59.3,85.18,8.92,0.94,420.2,2.62
