"Date","Vestas","Coloplast","Genmab","GN","Lundbeck","NovoNordisk","USD","GBP","NOK","CNY","C20index"
2010-01-04,66.4,96.2,92,29.7,95.05,67.6,5.17,8.35,0.9,0.76,347.85
2010-01-05,64.38,92.8,89.6,29.3,96.5,66.78,5.15,8.26,0.91,0.75,345.14
2010-01-06,63.58,95.2,88.75,28.4,96.55,67.5,5.19,8.28,0.91,0.76,346.37
2010-01-07,64.1,96.4,88,29.5,98.5,67.12,5.2,8.27,0.91,0.76,351.28
2010-01-08,63.8,96,89,29.5,99,68,5.21,8.33,0.91,0.76,353.23
2010-01-11,65.8,97.53,89.9,29.3,104,70,5.12,8.28,0.91,0.75,359.54
2010-01-12,63.4,96.5,89.6,29.5,103.2,69.2,5.14,8.29,0.91,0.75,356.73
2010-01-13,65.4,95.36,89.4,29.8,100,69.28,5.11,8.32,0.91,0.75,356.53
2010-01-14,66.8,95.4,91.25,30.4,102,70.2,5.14,8.36,0.91,0.75,361.79
2010-01-15,66,96.6,97.5,30.3,102,68.7,5.18,8.45,0.91,0.76,359.27
2010-01-18,65.8,96.8,104,30.2,103,68.2,5.18,8.46,0.91,0.76,359.95
2010-01-19,65.54,96.6,99.75,30,102,69.8,5.21,8.51,0.91,0.76,360.47
2010-01-20,61.7,97.86,99.05,29.7,103.3,70.8,5.27,8.56,0.92,0.77,356.31
2010-01-21,60.8,98.4,96,29.2,100,68.52,5.29,8.55,0.91,0.78,349.69
2010-01-22,59.14,97.4,99,29.7,99.9,68.28,5.27,8.5,0.91,0.77,346.87
2010-01-25,60.4,98.2,102.5,30.4,100.8,69.5,5.26,8.49,0.91,0.77,349.86
2010-01-26,57.8,99.5,100.6,30.3,102,72.6,5.29,8.53,0.9,0.77,348.97
2010-01-27,56,101.2,99,31.4,102.3,73.9,5.29,8.58,0.91,0.78,349.61
2010-01-28,55.8,112.56,98,32.9,101.9,73.84,5.32,8.64,0.91,0.78,350.95
2010-01-29,57.8,116.4,97.95,33,100.5,73.3,5.33,8.59,0.91,0.78,354.85
2010-02-01,57.2,119.8,96.5,33.6,100.9,74.94,5.35,8.51,0.91,0.78,358.43
2010-02-02,57.2,118.4,95,33.2,101.2,73,5.34,8.52,0.91,0.78,358.17
2010-02-03,57.5,119.4,99,32.7,101,76.2,5.32,8.5,0.91,0.78,360.48
2010-02-04,54.4,118.3,98.65,32,100.2,75,5.38,8.53,0.91,0.79,355.92
2010-02-05,54.96,116.9,97.5,31.2,97.25,75.54,5.44,8.53,0.91,0.8,350.75
2010-02-08,53.96,117.4,93.85,30.5,96.8,75.22,5.44,8.5,0.91,0.8,345.43
2010-02-09,58.18,119,93.95,30.6,97.4,75.06,5.41,8.46,0.91,0.79,348.74
2010-02-10,53.7,115.1,92.75,30.5,96.05,75,5.42,8.46,0.92,0.79,346.31
2010-02-11,54.7,116.2,91.45,30.7,96.4,75.94,5.43,8.48,0.92,0.79,348.53
2010-02-12,54.08,117.2,90.75,30.8,97,77.38,5.49,8.57,0.92,0.8,349.74
2010-02-15,53.94,119,91,30,96.25,78.28,5.47,8.58,0.92,0.8,350.64
2010-02-16,55.2,119.9,92.45,30.9,98.2,78.54,5.45,8.55,0.92,0.8,354.54
2010-02-17,56.82,121.4,95.35,31.5,98,78.6,5.42,8.57,0.93,0.79,357.57
2010-02-18,58.04,122.7,95.9,32.2,98.25,78.98,5.49,8.55,0.92,0.8,358.6
2010-02-19,57.92,120.8,94.65,32.4,99,79.12,5.51,8.47,0.92,0.81,358.76
2010-02-22,59,120.8,93.5,32.4,99,79.04,5.46,8.46,0.93,0.8,360.99
2010-02-23,56.22,121.4,90.65,31.5,98.75,77.8,5.48,8.46,0.93,0.8,357.44
2010-02-24,56.64,124.4,91.3,30.1,98.8,78.2,5.49,8.48,0.93,0.8,358.05
2010-02-25,55.12,124.1,90.05,29.1,96.8,77.4,5.52,8.45,0.93,0.81,353.95
2010-02-26,54,124.2,91.75,29.6,96.5,77.2,5.48,8.34,0.93,0.8,354.77
2010-03-01,53.84,125,91.7,30.5,95,79,5.5,8.21,0.92,0.81,361.86
2010-03-02,53.36,124.3,92.2,30.4,96.1,79.14,5.49,8.21,0.92,0.8,364.37
2010-03-03,55.88,126.1,90.55,30.4,96,79.26,5.46,8.22,0.92,0.8,368.12
2010-03-04,54.32,127.9,90.85,30.6,97.85,79.58,5.45,8.22,0.92,0.8,364.62
2010-03-05,55,127.6,92.35,30.9,97.45,80.82,5.48,8.25,0.92,0.8,371.1
2010-03-08,55.16,127.7,73.5,31.1,98.05,81.64,5.45,8.25,0.92,0.8,371.38
2010-03-09,55.02,127.3,71.5,31,96.8,81.64,5.49,8.21,0.93,0.8,369.55
2010-03-10,55.74,125.3,72.05,31.2,96.85,82.6,5.47,8.16,0.93,0.8,374.02
2010-03-11,54.9,124.8,72.2,31.2,98.75,81.88,5.45,8.19,0.93,0.8,372.06
2010-03-12,54.28,122.3,71.85,31.3,99,81.68,5.41,8.19,0.93,0.79,372.34
2010-03-15,52.72,121.2,72.2,31.4,99.5,81.94,5.43,8.17,0.93,0.8,371.01
2010-03-16,54.46,120.8,71.85,31.7,99.55,83.8,5.42,8.2,0.93,0.79,377.02
2010-03-17,54.5,121.8,71.5,31.6,100.4,84.78,5.41,8.3,0.93,0.79,378.35
